"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2025-10-22,"English (American)","WG","WG",393596,82729,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393602,82735,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393605,82738,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393630,82763,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393655,82788,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393660,82793,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393672,82805,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393677,82810,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393682,82815,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393709,82842,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393716,82849,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393717,82850,8,"production",7,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393729,82862,8,"production",54,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393739,82872,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393746,82879,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393767,82900,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393778,82911,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393779,82912,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393784,82917,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393790,82923,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393794,82927,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393796,82929,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393802,82935,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393804,82937,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393820,82953,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393822,82955,8,"production",62,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393833,82966,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393836,82969,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393859,82992,8,"production",1,3686,TRUE,TRUE,TRUE
